Part_ID,FLE,FLE_LUM,Froh,FD,FG,MIPS,TG,FJ,PAF,COG,FOOOF_PAF
39,4.38740368,0.204761905,0.845170081,0.128298333,4.537003145,0.793574539,0.327733003,1.011372249,11.00722377,10.40786325,10.55710533
40,0.030782494,0.00297619,0.930021157,0.159718333,6.5572237,0.402564445,0.307250177,0.545154969,10.19562115,10.1030725,10.12346016
41,-0.389378275,NaN,3.097601476,0.044511667,5.031648812,0.63349508,0.491592802,2.005848562,10.9785352,10.76588237,10.81314285
42,1.044582518,0.180357143,1.867142028,-0.041893333,3.857600804,0.838942579,0.204834488,0.996633272,9.996035026,9.753515022,9.762667788
44,2.115030904,-0.026190476,1.065724212,0.112588333,3.615904279,0.968448549,0.471110712,0.71705461,8.582781525,8.550586909,8.643653856
45,3.908042399,0.102380952,1.439072454,0.117825,3.767773017,0.962319952,0.204834569,1.149676207,11.44582897,11.2452822,11.47995078
46,1.812993213,0.188690476,1.774664395,0.013091667,4.330500387,1.171935429,0.430146176,-0.204559255,11.48044587,11.48766153,11.31384712
49,4.412467549,0.007142857,1.213965446,0.086405,3.405818771,0.702305417,0.28676711,0.540021322,11.71074347,11.5403166,11.61428974
53,2.968749858,0.023809524,1.862952027,0.149245,3.092260982,0.636549707,0.5325566,0.282728269,11.35944306,10.26190406,11.0687408
54,NaN,NaN,0.662277045,0.086405,3.506760606,0.881869636,0.36869856,0.360245975,11.20665366,10.99692739,11.22839917
55,-1.898859083,0.032738095,3.067172955,0.104733333,8.798172342,0.796225333,0.28676711,-0.188471317,10.89885782,10.62710555,10.68373472
56,-2.768653002,0.094047619,2.321811302,-1.04E-17,3.488870843,1.332143535,0.020483535,0.156805359,11.41094335,11.36163751,11.25765167
57,3.846946958,0.35297619,1.893127706,0.060221667,4.004466954,1.027842579,0.143384453,0.55455849,11.17973145,10.84493863,11.12358365
58,1.065598193,0.352380952,0.879109659,0.023565,4.58420452,0.631704331,0.204834488,0.830990081,11.24961777,10.78621085,10.46604557
60,NaN,0.339880952,1.714686758,-0.054985,6.414784167,1.394156845,0.69640593,1.811959275,9.784083773,9.973904757,9.925431578
61,3.142242225,0.032738095,1.498525429,0.041893333,6.986839605,0.873138748,1.331190347,0.910504751,10.0245256,9.737432264,10.0495964
62,3.356752409,0.42202381,4.064665411,0.086405,8.493726917,0.604093429,0.143384453,0.683867049,9.914110372,9.813049682,9.866750663
63,NaN,0.035119048,1.788217092,0.06284,4.207154412,NaN,NaN,0.208989591,10.21592433,9.992191536,10.06541013
66,3.244496525,NaN,0.955476464,-0.060221667,4.414431033,0.541241543,0.122901028,0.133963397,10.53777196,10.60758301,10.89279872
67,2.263376541,0.060119048,1.706718412,0.060221667,4.684219364,0.824777182,8.64633790155857e-17,0.93410476,10.23137528,9.879276238,9.84501672
68,6.640027808,-0.001190476,1.481925505,0.068076667,3.353601385,1.471023057,NaN,1.225445608,11.33775477,11.03014912,11.10573019
6,0.266385244,NaN,2.342477375,0.03142,NaN,0.600330583,0.143384453,-0.220051648,9.582212288,9.329899284,9.54870517
70,1.832947356,0.064285714,3.882570212,0.07855,3.757396101,0.997053593,0.491592802,1.345143791,10.02948172,9.747265518,9.823053646
8,1.137121881,0.163690476,0.424247262,0.018328333,2.229878289,0.596025805,0.245800925,0.836185888,9.543864797,9.227452585,9.543680882
