Part_ID,FLE,FLE_LUM,Froh,FD,FG,MIPS,TG,FJ,PAF,COG,FOOOF_PAF
12,0.537873798,0.046428571,-2.203001415,0.057603333,2.752801702,1.034781679,0.3891812,0.746781083,9.929886884,9.603626274,9.927532581
13,3.540627189,NaN,1.433479997,0.010473333,3.611276918,0.756463606,NaN,0.188673213,9.888982469,9.480439417,9.460065676
14,2.958424291,0.033333333,1.516024472,0.036656667,6.714440571,0.550548056,0.204834488,0.786417012,9.862516772,9.752978464,10.53399579
18,2.403078151,NaN,0.556202641,0.005236667,4.668453404,1.123150574,0.675925332,0.562202494,10.65990858,10.3808335,10.35741322
19,2.032595051,-0.038690476,0.217176037,0.020946667,4.574576109,1.007211267,0.307250096,1.04256158,10.72324924,10.23764109,10.16381657
1,NaN,0.002380952,2.863308449,-0.018328333,NaN,1.027718492,0.450628502,NaN,9.670766677,9.42280769,9.507429791
20,2.289061844,0.210714286,0.734707394,0,3.949975455,1.134889132,0.204834488,0.194357461,11.02903859,10.8000406,10.88837439
21,0.89120068,0.008333333,1.367430752,0.034038333,2.840660419,0.874832892,0.532556519,0.980097174,9.406568613,9.150662865,9.122284733
22,3.249755621,0.035119048,2.430569879,0.060221667,3.755650319,0.650102891,0.266284052,0.259797926,10.90332308,10.86327312,10.68546482
24,1.562245053,NaN,1.989637341,0.230413333,5.099983384,0.84015658,0.327733003,0.59594081,10.31744647,10.02059813,9.837466819
25,1.679087085,0.206547619,0.432256421,0.17281,3.525300479,0.863210491,0.40966374,0.882406064,10.45639256,10.34073899,10.70541187
27,4.506983046,NaN,7.821378058,0.246123333,NaN,0.994168305,0.36869856,0.129442376,9.92268649,9.773836511,9.714888539
2,0.588919265,0.155952381,3.50377463,0.198993333,NaN,0.760357194,0.450628502,NaN,8.747262804,9.775692163,10.05944118
32,NaN,-0.001785714,1.422071159,0.06284,5.091921704,1.241584709,0.28676711,0.905527973,9.401010915,9.317065507,9.327412365
33,-0.368815037,0.078571429,-0.301551798,0.081168333,6.626987746,0.883643917,0.491592802,0.585188721,9.388094954,9.077271884,9.258790629
34,1.305751284,0.186309524,-0.692269463,0.04713,2.416743684,0.732167621,-0.122901028,1.158824212,11.15137913,11.07298276,11.07901677
35,4.214200264,0.106547619,-0.997412472,0.002618333,5.099505069,0.766318425,0.71688635,0.350105944,10.94064933,11.16683646,11.53778532
36,NaN,-0.025,1.184226212,0.191138333,4.77406182,0.689830693,0.716886431,0.609943198,11.75,11.74627789,11.8334451
38,-0.747816995,NaN,3.121474212,0.149245,6.241154003,0.748367964,0.245800925,0.533832014,12.21505757,12.3091185,12.20346155
